LANCET,LANCET,53.254
Nature Reviews Materials,NAT REV MATER,51.941
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,50.167
Nature Energy,NAT ENERGY,46.859
NATURE REVIEWS CANCER,NAT REV CANCER,42.784
NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,41.982
NATURE,NATURE,41.577
NATURE REVIEWS GENETICS,NAT REV GENET,41.465
SCIENCE,SCIENCE,41.058
NATURE MATERIALS,NAT MATER,39.235
Nature Nanotechnology,NAT NANOTECHNOL,37.49
LANCET ONCOLOGY,LANCET ONCOL,36.421
NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,35.724
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,35.612
NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,32.635
NATURE MEDICINE,NAT MED,32.621
Nature Photonics,NAT PHOTONICS,32.521
NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,31.851
LANCET NEUROLOGY,LANCET NEUROL,27.144
NATURE GENETICS,NAT GENET,27.125
NATURE METHODS,NAT METHODS,26.919
Nature Chemistry,NAT CHEM,26.201
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,25.148
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,24.653
Nature Physics,NAT PHYS,22.727
NATURE IMMUNOLOGY,NAT IMMUNOL,21.809
Lancet Respiratory Medicine,LANCET RESP MED,21.466
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,20.265
NATURE NEUROSCIENCE,NAT NEUROSCI,19.912
Nature Reviews Neurology,NAT REV NEUROL,19.819
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,19.313
Nature Climate Change,NAT CLIM CHANGE,19.181
NATURE CELL BIOLOGY,NAT CELL BIOL,19.064
Lancet Global Health,LANCET GLOB HEALTH,18.705
Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,17.324
Science Translational Medicine,SCI TRANSL MED,16.71
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,16.071
Nature Reviews Rheumatology,NAT REV RHEUMATOL,15.661
Lancet Psychiatry,LANCET PSYCHIAT,15.233
Nature Reviews Cardiology,NAT REV CARDIOL,15.162
Nature Microbiology,NAT MICROBIOL,14.174
Nature Reviews Nephrology,NAT REV NEPHROL,14.101
Nature Chemical Biology,NAT CHEM BIOL,13.843
NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,13.333
Nature Protocols,NAT PROTOC,12.423
Nature Communications,NAT COMMUN,12.353
PLOS MEDICINE,PLOS MED,11.675
Nature Plants,NAT PLANTS,11.471
Lancet HIV,LANCET HIV,11.355
Lancet Haematology,LANCET HAEMATOL,10.698
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,P NATL ACAD SCI USA,9.504
PLOS BIOLOGY,PLOS BIOL,9.163
Nature Reviews Urology,NAT REV UROL,8.089
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,ACTA CRYSTALLOGR B,6.467
Science Signaling,SCI SIGNAL,6.378
PLoS Pathogens,PLOS PATHOG,6.158
PLoS Genetics,PLOS GENET,5.54
JOURNAL OF MOLECULAR BIOLOGY,J MOL BIOL,4.894
PLoS Neglected Tropical Diseases,PLOS NEGLECT TROP D,4.367
JOURNAL OF BIOLOGICAL CHEMISTRY,J BIOL CHEM,4.011
PLoS Computational Biology,PLOS COMPUT BIOL,3.955
PLoS One,PLOS ONE,2.766
